id,version,type,name,stk_version,url
standard,1.4,powerup,powerup_orig,1,https://raw.githubusercontent.com/supertuxkart/stk-code/refs/tags/1.4/data/powerup.xml
standard,1.4,kart,kart_characteristics_orig,1,https://raw.githubusercontent.com/supertuxkart/stk-code/refs/tags/1.4/data/kart_characteristics.xml
random (mimiz),1,powerup,powerup_random,1,https://stk.kimden.online/public/powerup_mimiz.xml
rebalanced (mimiz) v3,3,powerup,powerup_rebalanced3,1,https://stk.kimden.online/public/rebalanced.xml
rebalanced (mimiz) v2,2,powerup,powerup_rebalanced2,1,https://stk.kimden.online/public/rebalanced_previous.xml
rebalanced (mimiz) v1,1,powerup,powerup_rebalanced1,1,https://stk.kimden.online/public/rebalanced_previous2.xml
cake (matahina) v2,2,powerup,powerup_cake2,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/main/matahina_powerups/powerup_cake_v2.xml
cake (matahina) v1,1,powerup,powerup_cake1,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/main/matahina_powerups/powerup_cake_v1.xml
cake (matahina) v0,0,powerup,powerup_cake0,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/main/matahina_powerups/powerup_cake_v0.xml
gums (matahina) v1,1,powerup,powerup_gums1,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/main/matahina_powerups/powerup_gums_v1.xml
YEET (Iluvatyr),1,powerup,powerup_yeet,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/refs/heads/main/luva_rowdy_yeet/powerup_yeet.xml
YEET (Iluvatyr),1,kart,kart_characteristics_yeet,1,https://raw.githubusercontent.com/matahina/Miscellanous-STK-files/refs/heads/main/luva_rowdy_yeet/kart_characteristics_yeet.xml
FF April Fools 2023,1,powerup,powerup_aprfool23,1,https://stk.kimden.online/public/powerup_mimiz.xml
FF April Fools 2023,1,kart,kart_characteristics_aprfool23,1,https://stk.kimden.online/public/230401.xml
FF April Fools 2022,1,powerup,powerup_aprfool22,1,https://stk.kimden.online/public/0104.xml
FF HALLOWEEN,1,powerup,powerup_halloween,1,https://stk.kimden.online/public/trending.xml
FF HALLOWEEN,1,kart,kart_characteristics_halloween,1,https://stk.kimden.online/public/hups.xml
FF Special 3years 2022-11-20,1,powerup,powerup_triple2211,1,https://stk.kimden.online/public/triple.xml
FF Special Poll 2022-12-18,1,powerup,powerup_poll2212,1,https://stk.kimden.online/public/poll.xml
FF Special 2023-01-21,1,powerup,powerup_2301,1,https://stk.kimden.online/public/230121.xml
STK2,2,powerup,powerup_STK2,2,https://raw.githubusercontent.com/Alayan-stk-2/stk-code/BalanceSTK2/data/powerup.xml
STK2,2,kart,kart_characteristics_STK2,2,https://raw.githubusercontent.com/Alayan-stk-2/stk-code/BalanceSTK2/data/kart_characteristics.xml
STK2_TME,2,powerup,powerup_STK2_TME,2,https://raw.githubusercontent.com/Nomagno/stk-code/refs/heads/tyre2X/data/powerup.xml
STK2_TME,2,kart,kart_characteristics_STK2_TME,2,https://raw.githubusercontent.com/Nomagno/stk-code/refs/heads/tyre2X/data/kart_characteristics.xml
,1.4,emoji,emoji_used,1,https://raw.githubusercontent.com/supertuxkart/stk-code/refs/tags/1.4/data/emoji_used.txt
